station names,99%,99.9%,99.99%,99.999%
CHU,0.6,1.9,5.5,9.7
NEU,0.6,2.2,8.5,15.4
GVE,0.5,2.4,7.0,16.7
PIO,0.9,2.9,7.8,13.6
LUG,0.9,6.1,13.7,21.4
SIO,0.4,1.4,3.7,9.6
PUY,0.6,2.6,7.7,13.6
STG,0.9,3.2,8.3,16.6
INT,0.7,2.8,8.0,17.4
DAV,0.8,2.0,5.4,10.8
BER,0.6,2.5,7.9,13.9
SAM,0.6,1.5,3.6,9.9
SMA,0.7,2.8,8.4,17.9
SHA,0.5,2.4,8.2,14.2
CDF,0.7,2.8,9.1,19.2
OTL,1.1,5.8,13.4,25.0
DIS,0.7,1.9,5.2,7.6
ENG,0.9,2.9,7.9,12.5
PAY,0.5,2.2,7.3,20.3
ZER,0.4,1.3,2.7,7.0
ABO,0.8,2.6,7.5,16.7
BAS,0.5,2.3,8.3,16.0
BUS,0.6,2.5,8.4,15.4
LUZ,0.8,3.6,9.6,15.5
